Fund Name,AUM,5 Year return,Logo URL
Invesco India Invesco Global Consumer Trends FoF Direct Growth,409.1384,NA,https://assets-netstorage.groww.in/mf-assets/logos/invesco_groww.png
UTI Nifty200 Momentum 30 Index Fund Direct Growth,8131.0142,NA,https://assets-netstorage.groww.in/mf-assets/logos/uti_groww.png
ICICI Prudential Short Term Fund Direct Plan Growth,22313.71197561,7.24,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
HDFC Focused Fund Direct Growth,22444.4336,30.22,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Quant Flexi Cap Fund Direct Growth,6686.6715,27.04,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
UTI Nifty Next 50 Index Fund Direct Growth,5481.7624,20.71,https://assets-netstorage.groww.in/mf-assets/logos/uti_groww.png
Quant Infrastructure Fund Direct Growth,3139.5415,34.61,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
Edelweiss Gold and Silver ETF FoF Direct Growth,562.6682,NA,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
Groww Value Fund Direct Growth,60.33087236,21.4,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
Kotak Multicap Fund Direct Growth,19227.04296964,NA,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Quant Multi Asset Allocation Fund Direct Growth,3666.2855,27.61,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
Quant Large and Mid Cap Fund Direct Growth,3488.0058,24.53,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
SBI Large & Midcap Fund Direct Plan Growth,33248.1214,24.43,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Motilal Oswal Multi Cap Fund Direct Growth,4285.2242,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Nippon India Power & Infra Fund Direct Growth,7175.1796,32.52,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
HDFC Short Term Debt Fund Direct Plan Growth,18235.5573,6.75,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Groww Nifty EV & New Age Automotive ETF FoF Direct Growth,148.22783125,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
Aditya Birla Sun Life Silver ETF FoF Direct Growth,371.9023,NA,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
ICICI Prudential Nifty 50 Index Direct Plan Growth,13913.57450232,18.03,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
SBI Energy Opportunities Fund Direct Growth,9411.8029,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
LIC MF Infrastructure Fund Direct Growth,994.7952,33.35,https://assets-netstorage.groww.in/mf-assets/logos/lic_groww.png
Invesco India Flexi Cap Fund Direct Growth,3666.4737,NA,https://assets-netstorage.groww.in/mf-assets/logos/invesco_groww.png
Kotak Large & Midcap Fund Direct Growth,27654.6745,23.43,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
ICICI Prudential Flexicap Fund Direct Growth,18172.88253051,NA,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Mirae Asset Large & Midcap Fund Direct Growth,40019.9831,21.94,https://assets-netstorage.groww.in/mf-assets/logos/mirae_groww.png
Tata Ethical Direct Plan Growth,3601.33259444,18.27,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
HDFC Silver ETF FoF Direct Growth,656.2176,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
SBI Equity Hybrid Fund Direct Plan Growth,77255.729,17.44,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Bank of India Flexi Cap Fund Direct Growth,2111.9436,26.52,https://assets-netstorage.groww.in/mf-assets/logos/boi_groww.png
HDFC NIFTY 50 Index Fund Direct Growth,20526.6955,18.04,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Franklin Build India Fund Direct Growth,2883.70184893,35.16,https://assets-netstorage.groww.in/mf-assets/logos/franklin_groww.png
SBI Multicap Fund Direct Growth,22424.227,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,23697.82339081,28.3,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Nippon India Multi Asset Allocation Fund Direct Growth,6959.45727061,19.98,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Edelweiss Liquid Direct Growth,10217.5112,5.78,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
Aditya Birla Sun Life Nifty India Defence Index Fund Direct Growth,651.029,NA,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
Parag Parikh Conservative Hybrid Fund Direct Growth,2954.68682423,NA,https://assets-netstorage.groww.in/mf-assets/logos/ppfas_groww.png
Nippon India Nifty Smallcap 250 Index Fund Direct Growth,2457.9215,NA,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
ICICI Prudential Value Direct Growth,53750.42739417,26.9,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Canara Robeco Large Cap Fund Direct Growth,16280.5233,19.48,https://assets-netstorage.groww.in/mf-assets/logos/canara_groww.png
Kotak Small Cap Fund Direct Growth,17508.3659,27.72,https://assets-netstorage.groww.in/mf-assets/logos/kotak_groww.png
Axis Large Cap Fund Direct Growth,32953.562597,15.42,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
SBI Multi Asset Allocation Fund Direct Growth,9819.3832,16.02,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
SBI Nifty Next 50 Index Fund Direct Growth,1758.8059,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
HDFC BSE Sensex Index Fund Direct Growth,8420.7582,17.19,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Motilal Oswal Nifty Midcap 150 Index Fund Direct Growth,2502.3891,26.91,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Edelweiss Greater China Equity Off shore Fund Direct Growth,2245.0191,4.75,https://assets-netstorage.groww.in/mf-assets/logos/edelweiss_groww.png
HDFC Large and Mid Cap Fund Direct Growth,26157.9813,26.95,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Bajaj Finserv Small Cap Fund Direct Growth,1272.714801,NA,https://assets-netstorage.groww.in/mf-assets/logos/bajaj_groww.png
SBI Balanced Advantage Fund Direct Growth,36673.42987872,NA,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
